LCF,Corr,Mean,Std
"Holmes, Richaun",0.0354853703826,0.0328088458768,0.96904526541
"Mills, Patty",0.0312832093453,0.0917505452516,0.719602813702
"Love, Kevin",0.0295995799599,-0.0917083423495,1.32247516734
"Ilyasova, Ersan",0.0292026660856,0.11162815433,0.922717606048
"Hickson, JJ",0.0270857523859,0.0145306506981,0.83538934683
"Barton, Will",0.0265187580603,0.218038125348,1.13156099093
"Young, Nick",0.0264819510636,0.57659619498,0.869372130471
"Millsap, Paul",0.0238481303483,-0.127225276348,1.73760805672
"Lopez, Brook",0.0222040087435,0.480852157423,1.83703217306
"Augustin, D.J.",0.0192537534713,0.163169057599,0.78526774373
"Brewer, Corey",0.0133574592562,0.32458370023,0.866027597564
"Harris, Tobias",0.0132174849792,0.181757385935,1.03323611987
"Hollis-Jefferson, Rondae",0.0123237103734,-0.336495433761,0.686183808596
"Beverley, Patrick",0.0119562210069,-0.0542635225805,0.703770010299
"Bogut, Andrew",0.0115054604746,0.260534596162,1.15219585394
"Jackson, Reggie",0.0110568638212,-0.139100977178,1.54804600124
"Copeland, Chris",0.00983757355254,0.293750261264,0.9794800529
"Batum, Nicolas",0.0092802394536,0.0244139179629,1.76386715609
"Williams, Deron",0.00924711558886,0.165803032452,1.46179556962
"Waiters, Dion",0.00844775518115,0.491422034509,0.748053182261
"Rondo, Rajon",0.0075971072244,0.27972400149,1.96250608058
"Thompson, Tristan",0.0038947020644,0.429089444436,1.12653941269
"Zeller, Cody",0.00232766618206,0.0457746054894,0.922194100694
"Horford, Al",0.00210275197381,0.531667420949,1.37541506106
"Davis, Ed",0.000671345223542,0.229976265049,1.0676874769
"Villanueva, Charlie",0.00062468982404,0.173197478661,0.709017335708
"Rose, Derrick",-4.78322093867e-05,0.221773481858,1.20172768984
"Prigioni, Pablo",-0.00491327947636,0.206678448884,1.02913170237
"Wiggins, Andrew",-0.00525926207475,0.572852577097,1.69584423037
"Sessions, Ramon",-0.00736204826519,-0.110558471268,0.643729272885
"Nelson, Jameer",-0.00910191821221,-0.0300664815619,1.10816425115
"Bonner, Matt",-0.0119221678875,1.30248620846,2.43014304915
"Grant, Jerian",-0.0157195404622,0.336609449666,0.882399153811
"Galloway, Langston",-0.0163994236026,0.302226228216,0.842716087084
"Inglis, Damien",-0.0171260036672,0.637243871487,0.98679612159
"Lawson, Ty",-0.021227866911,0.407126914637,0.8894065308
"Hill, Jordan",-0.0229822471446,0.631967407563,1.00949729156
"Hinrich, Kirk",-0.0229953184447,0.378251079787,0.949095962256
"West, David",-0.0237257949456,0.172569161131,0.763924361528
"Holiday, Jrue",-0.0247868882869,-0.212531579827,1.09884121173
"Neto, Raul",-0.0262265109945,0.195870822884,0.858743644558
"Durant, Kevin",-0.0264405484816,0.486643053725,2.43503395804
"Bazemore, Kent",-0.0269418243571,0.148937307215,0.962202763904
"Thompson, Klay",-0.0288406218793,0.999199317342,1.84815735123
"Arthur, Darrell",-0.0293814630394,0.0267410149853,0.649138140685
"Bayless, Jerryd",-0.0344955460774,0.248959584636,0.796267674056
"Canaan, Isaiah",-0.0345008335053,-0.0419040570098,0.901556982186
"Thomas, Isaiah",-0.0361246476737,-0.0304344217084,1.59832165605
"World Peace, Metta",-0.0362080163809,-0.0317626511866,0.554925548827
"Mahinmi, Ian",-0.038315921873,0.092973016873,1.05643860773
"Gibson, Taj",-0.042025324291,0.247244086406,1.16496110128
"Schroder, Dennis",-0.0460223348415,0.369504216969,0.885123534026
"DeRozan, DeMar",-0.0463695979584,0.376472499565,1.67215454296
"Casspi, Omri",-0.048110363511,0.427484753695,0.875897967023
"Lee, David",-0.0482577892542,0.0989934567055,0.649107612486
"Parker, Tony",-0.0483972516235,0.290515357801,1.01197025405
"Miller, Andre",-0.0496443540622,0.517684443774,1.58136078466
"Foye, Randy",-0.0498037179346,0.302023655305,0.660029544121
"Leonard, Meyers",-0.0627421518478,0.236797682053,0.754203015672
"Paul, Chris",-0.0683560246588,-0.182039286498,1.81333384852
"Muhammad, Shabazz",-0.0712587967907,0.38782711077,0.824576222432
"Favors, Derrick",-0.0722401308638,-0.326666573722,1.96019059705
"Morris, Markieff",-0.0730728884447,0.0934588266407,1.08757743456
"Bosh, Chris",-0.0731516277921,-0.233139870305,1.44325083001
