Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SG,Jeremy Lamb,4500,Bkn@Cha 07:00PM ET,23.556,Cha
PG,Trey Burke,4500,Tor@Uta 09:00PM ET,21.000,Uta
SG,Kevin Martín,4400,Min@Orl 07:00PM ET,20.472,Min
PF,Amir Johnson,4400,Dal@Bos 07:30PM ET,21.575,Bos
SF,Omri Casspi,4400,Sac@Atl 08:00PM ET,21.614,Sac
SG,Manu Ginóbili,4300,Den@SA 08:30PM ET,24.500,SA
PG,Tony Parker,4300,Den@SA 08:30PM ET,20.050,SA
SF,C.J. Miles,4300,Ind@Phi 07:00PM ET,20.938,Ind
SG,Marco Belinelli,4300,Sac@Atl 08:00PM ET,19.114,Sac
PF,J.J. Hickson,4300,Den@SA 08:30PM ET,16.972,Den
SG,Nik Stauskas,4300,Ind@Phi 07:00PM ET,18.850,Phi
PF,Luis Scola,4200,Tor@Uta 09:00PM ET,20.273,Tor
C,Ian Mahinmi,4200,Ind@Phi 07:00PM ET,21.150,Ind
SG,Danny Green,4200,Den@SA 08:30PM ET,18.250,SA
SF,Chandler Parsons,4200,Dal@Bos 07:30PM ET,13.786,Dal
C,Meyers Leonard,4200,Por@Hou 08:00PM ET,18.056,Por
C,Joffrey Lauvergne,4200,Den@SA 08:30PM ET,23.083,Den
SF,Aaron Gordon,4200,Min@Orl 07:00PM ET,20.227,Orl
PG,Jeremy Lin,4100,Bkn@Cha 07:00PM ET,21.100,Cha
PF,Ed Davis,4100,Por@Hou 08:00PM ET,18.646,Por
PG,Cory Joseph,4100,Tor@Uta 09:00PM ET,19.250,Tor
SF,Bojan Bogdanovic,4000,Bkn@Cha 07:00PM ET,18.550,Bkn
SF,T.J. Warren,4000,Chi@Pho 10:30PM ET,18.225,Pho
C,Kelly Olynyk,3900,Dal@Bos 07:30PM ET,19.306,Bos
C,Steven Adams,3900,NO@OKC 08:00PM ET,19.386,OKC
SG,Rodney Stuckey,3800,Ind@Phi 07:00PM ET,19.000,Ind
PF,Taj Gibson,3800,Chi@Pho 10:30PM ET,18.550,Chi
C,Kosta Koufos,3800,Sac@Atl 08:00PM ET,19.341,Sac
PG,Isaiah Canaan,3800,Ind@Phi 07:00PM ET,18.227,Phi
C,Dewayne Dedmon,3800,Min@Orl 07:00PM ET,18.075,Orl
PG,Jameer Nelson,3700,Den@SA 08:30PM ET,18.469,Den
PF,David Lee,3700,Dal@Bos 07:30PM ET,14.675,Bos
PG,J.J. Barea,3700,Dal@Bos 07:30PM ET,17.523,Dal
SF,Thabo Sefolosha,3700,Sac@Atl 08:00PM ET,18.667,Atl
PG,Devin Harris,3600,Dal@Bos 07:30PM ET,18.750,Dal
PG,Aaron Brooks,3600,Chi@Pho 10:30PM ET,15.750,Chi
PG,Toney Douglas,3600,NO@OKC 08:00PM ET,17.750,NO
C,Omer Asik,3600,NO@OKC 08:00PM ET,8.500,NO
SG,Hollis Thompson,3600,Ind@Phi 07:00PM ET,17.977,Phi
SF,Doug McDermott,3600,Chi@Pho 10:30PM ET,15.350,Chi
PF,Cody Zeller,3600,Bkn@Cha 07:00PM ET,17.889,Cha
PG,Raymond Felton,3500,Dal@Bos 07:30PM ET,15.909,Dal
SF,P.J. Tucker,3500,Chi@Pho 10:30PM ET,15.475,Pho
SF,Corey Brewer,3500,Por@Hou 08:00PM ET,14.295,Hou
SF,James Johnson,3500,Tor@Uta 09:00PM ET,10.893,Tor
PF,Jon Leuer,3500,Chi@Pho 10:30PM ET,16.150,Pho
SF,Maurice Harkless,3500,Por@Hou 08:00PM ET,14.458,Por
C,Willie Cauley-Stein,3500,Sac@Atl 08:00PM ET,16.795,Sac
PF,Channing Frye,3400,Min@Orl 07:00PM ET,15.417,Orl
C,Gorgui Dieng,3400,Min@Orl 07:00PM ET,14.800,Min
SG,Gary Harris,3400,Den@SA 08:30PM ET,16.425,Den
SG,Rondae Hollis-Jefferson,3400,Bkn@Cha 07:00PM ET,15.675,Bkn
PF,Boris Diaw,3300,Den@SA 08:30PM ET,17.150,SA
SG,Gerald Henderson,3300,Por@Hou 08:00PM ET,6.500,Por
PG,Patrick Beverley,3300,Por@Hou 08:00PM ET,11.857,Hou
PG,Patty Mills,3300,Den@SA 08:30PM ET,16.450,SA
C,Alexis Ajinca,3300,NO@OKC 08:00PM ET,10.500,NO
SF,Luke Babbitt,3300,NO@OKC 08:00PM ET,13.281,NO
SF,Tony Snell,3300,Chi@Pho 10:30PM ET,14.875,Chi
C,Bismack Biyombo,3300,Tor@Uta 09:00PM ET,15.977,Tor
PF,Charlie Villanueva,3200,Dal@Bos 07:30PM ET,15.150,Dal
PF,Trevor Booker,3200,Tor@Uta 09:00PM ET,14.556,Uta
PF,Patrick Patterson,3200,Tor@Uta 09:00PM ET,14.091,Tor
C,Nikola Pekovic,3200,Min@Orl 07:00PM ET,0,Min
SG,Allen Crabbe,3200,Por@Hou 08:00PM ET,14.000,Por
C,Myles Turner,3200,Ind@Phi 07:00PM ET,12.031,Ind
PF,Kevin Garnett,3100,Min@Orl 07:00PM ET,12.583,Min
PG,André Miller,3100,Min@Orl 07:00PM ET,13.000,Min
