Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
14786-11104,SF,Alonzo,Gee,10.523214285714285,56,3500,OKC@NO,NO,OKC,,,,
14786-23799,PF,Mitch,McGary,2.6411764705882352,17,3500,OKC@NO,OKC,NO,,,,
14786-42661,PF,Noah,Vonleh,10.318867924528302,53,3500,HOU@POR,POR,HOU,,,,
14786-17747,SG,Ian,Clark,7.2155555555555555,45,3500,GS@ORL,GS,ORL,,,,
14786-18821,SG,Jonathon,Simmons,9.730232558139534,43,3500,SA@UTA,SA,UTA,,,,
14786-23776,PF,Montrezl,Harrell,6.758620689655173,29,3500,HOU@POR,HOU,POR,,,,
14786-42677,PG,Terry,Rozier,3.1149999999999998,20,3500,MIL@BOS,BOS,MIL,,,,
14786-15669,C,Meyers,Leonard,16.166,50,3500,HOU@POR,POR,HOU,,,,
14786-9649,PF,Nick,Collison,7.059574468085105,47,3500,OKC@NO,OKC,NO,,,,
14786-23220,SF,Chris,Copeland,3.1875,24,3500,MIL@BOS,MIL,BOS,,,,
14786-16191,SF,Josh,Huestis,0,0,3500,OKC@NO,OKC,NO,,,,
14786-58661,SG,Rashad,Vaughn,5.197959183673469,49,3500,MIL@BOS,MIL,BOS,,,,
14786-9643,PG,Shaun,Livingston,13.318867924528302,53,3500,GS@ORL,GS,ORL,,,,
14786-16925,PF,Jarnell,Stokes,2.185714285714286,7,3500,OKC@NO,NO,OKC,,,,
14786-23757,PG,Brian,Roberts,7.864516129032259,31,3500,HOU@POR,POR,HOU,,,,
14786-9952,C,DeJuan,Blair,5.203448275862068,29,3500,BKN@PHO,PHO,BKN,,,,
14786-9955,SG,Marcus,Thornton,15.808510638297872,47,3500,HOU@POR,HOU,POR,,,,
14786-15961,C,Tyler,Zeller,9.397499999999999,40,3500,MIL@BOS,BOS,MIL,,,,
14786-15964,PG,Lorenzo,Brown,5.4875,8,3500,BKN@PHO,PHO,BKN,,,,
14786-55061,SF,Damien,Inglis,2.7249999999999996,8,3500,MIL@BOS,MIL,BOS,,,,
14786-15955,PF,James Michael,McAdoo,4.956,25,3500,GS@ORL,GS,ORL,GTD,Toe,,
14786-9962,PF,Jonas,Jerebko,9.40701754385965,57,3500,MIL@BOS,BOS,MIL,,,,
14786-23248,SG,RJ,Hunter,5.546153846153846,26,3500,MIL@BOS,BOS,MIL,,,,
14786-9964,PG,Ty,Lawson,13.876,50,3500,HOU@POR,HOU,POR,,,,
14786-15475,PF,Cory,Jefferson,5.4,8,3500,BKN@PHO,PHO,BKN,,,,
14786-9669,PF,Jason,Smith,11.93061224489796,49,3500,GS@ORL,ORL,GS,,,,
14786-9671,PF,Marreese,Speights,11.463043478260868,46,3500,GS@ORL,GS,ORL,,,,
14786-15736,C,Jeff,Withey,12.482499999999998,40,3500,SA@UTA,UTA,SA,,,,
14786-58150,PF,Cliff,Alexander,3.1714285714285713,7,3500,HOU@POR,POR,HOU,,,,
14786-15730,PF,Thomas,Robinson,9.713725490196078,51,3500,BKN@PHO,BKN,PHO,,,,
14786-58461,PF,Trey,Lyles,10.285185185185185,54,3500,SA@UTA,UTA,SA,,,,
14786-9674,SG,Leandro,Barbosa,11.158139534883722,43,3500,GS@ORL,GS,ORL,,,,
14786-15993,SG,Pat,Connaughton,1.4227272727272728,22,3500,HOU@POR,POR,HOU,,,,
14786-40202,SF,Sergey,Karasev,2.275,24,3500,BKN@PHO,BKN,PHO,,,,
14786-42689,PG,Tyler,Ennis,5.241666666666666,24,3500,MIL@BOS,MIL,BOS,,,,
14786-9928,SF,Sonny,Weems,5.588235294117647,34,3500,BKN@PHO,PHO,BKN,,,,
14786-9449,PF,Josh,Smith,14.373333333333333,45,3500,HOU@POR,HOU,POR,,,,
14786-23282,SF,Sam,Dekker,1.0666666666666667,3,3500,HOU@POR,HOU,POR,O,Back,,
14786-16230,SG,Jordan,McRae,8.8,7,3500,BKN@PHO,PHO,BKN,,,,
14786-12423,C,Omer,Asik,12.216666666666667,48,3500,OKC@NO,NO,OKC,O,Ankle,,
14786-9720,C,Andrea,Bargnani,9.726086956521739,46,3500,BKN@PHO,BKN,PHO,,,,
14786-40208,PG,Raul,Neto,11.92909090909091,55,3500,SA@UTA,UTA,SA,,,,
14786-9463,C,Kendrick,Perkins,5.2250000000000005,12,3500,OKC@NO,NO,OKC,,,,
14786-17218,PF,Andrew,Nicholson,11.222222222222221,36,3500,GS@ORL,ORL,GS,,,,
14786-9698,PF,Jason,Thompson,6.082142857142857,28,3500,GS@ORL,GS,ORL,,,,
14786-9940,PF,Dante,Cunningham,10.231481481481481,54,3500,OKC@NO,NO,OKC,,,,
14786-17462,SG,Chris,Johnson,7.980851063829788,47,3500,SA@UTA,UTA,SA,,,,
14786-9709,C,Matt,Bonner,4.2299999999999995,20,3500,SA@UTA,SA,UTA,O,Calf,,
14786-15699,SG,Roy Devyn,Marble,0.825,8,3500,GS@ORL,ORL,GS,,,,
